Ticker,Category,Mkt_Cap,Act_Exp,Net_Exp,Dist_Freq
DDF,Equity US,98867.68,0.009094211,0.015525225,12.0
DEX,Equity US,151958.4,0.011029861,0.017096284,12.0
DFP,Fixed Income,444512.0,0.0070737790000000005,0.01394438,12.0
DHF,Fixed Income,218131.2708,0.008943241,0.016856886,12.0
DHY,Fixed Income,243927.9024,0.009429353,0.015190934,12.0
DIAX,Equity US,656415.0179999999,0.008828354,0.008828354,4.0
DMB,Municipal Bonds,233267.58,0.007744406999999999,0.014227846,12.0
DMF,Municipal Bonds,167420.22,0.007930461,0.011407397,12.0
DMO,Fixed Income,214536.6,0.011024606000000001,0.019574921999999998,12.0
DNI,Equity US,143480.3319,0.016741329,0.017842009,4.0
DNP,Equity US,3228270.126,0.007478807,0.015298269,12.0
DPG,Equity US,543157.6,0.011823557,0.019088031000000002,4.0
DSE,Equity US,129955.56,0.01526691,0.026936495,4.0
DSL,Fixed Income,1976325.0,0.011978991000000001,0.018914913000000002,12.0
DSM,Municipal Bonds,371014.24,0.00629217,0.008907313,12.0
DSU,Fixed Income,626622.7736,0.0066986580000000006,0.013450018000000001,12.0
DTF,Municipal Bonds,111710.31,0.008064515999999999,0.015700286,12.0
DUC,Fixed Income,229308.3,0.007280819,0.015565339,12.0
EAD,Fixed Income,536475.6495,0.006756486,0.012956027,12.0
ECC,Equity US,312552.174,0.038932462,0.069625845,12.0
ECF,Fixed Income,125469.5,0.009617215,0.009617215,4.0
EDD,Fixed Income,452429.24,0.021316027999999997,0.021316027999999997,4.0
EDF,Fixed Income,212281.17,0.014931745,0.021106629,12.0
EDI,Fixed Income,124741.6,0.015391048000000001,0.021721066,12.0
EEA,Equity Foreign,68282.65,0.013487388000000001,0.013487388000000001,2.0
EFF,Fixed Income,113785.76,0.009085479,0.020004723000000002,12.0
EFL,Fixed Income,218174.88,0.007399456,0.014779145,12.0
EFR,Fixed Income,484182.72,0.008723986999999999,0.014207966,12.0
EFT,Fixed Income,533483.9664,0.008174578,0.01886917,12.0
EGF,Fixed Income,76524.14,0.007442719,0.009062484,12.0
EGIF,Equity US,108145.86,0.016466397,0.021804577999999998,12.0
EHI,Fixed Income,417783.9,0.009514599,0.016258194,12.0
EHT,Fixed Income,207957.09,0.008257626,0.014091194,12.0
EIM,Municipal Bonds,798928.96,0.006589027,0.013575645,12.0
EIV,Municipal Bonds,121057.17,0.006757506999999999,0.014607324,12.0
EMD,Fixed Income,829790.36,0.00947745,0.014764688,12.0
EMF,Equity Foreign,255691.8,0.013584915,0.013584915,1.0
EMO,Equity US,297921.8,0.013891665,0.023548952999999997,4.0
ENX,Municipal Bonds,178233.56,0.007353622,0.014585649,12.0
EOD,Equity US,239441.7234,0.011259693000000001,0.01388812,4.0
EOI,Equity US,551555.84,0.011173916,0.011173916,12.0
EOS,Equity US,796875.2,0.010731835,0.010731835,12.0
EOT,Municipal Bonds,328272.56,0.006997304,0.00886587,12.0
ERC,Fixed Income,417885.894,0.006705764,0.011916798999999999,12.0
ERH,Equity US,117037.8,0.008556618,0.012042647,12.0
ETB,Equity US,380747.3659,0.010874223,0.010874223,12.0
ETG,Equity US,1173494.0,0.009263142,0.013925903,12.0
ETJ,Equity US,564662.623,0.0109763,0.0109763,12.0
ETO,Equity US,340184.16,0.009608727,0.014451087,12.0
ETV,Equity US,1018310.4,0.010430685,0.010430685,12.0
ETW,Equity US,1038511.452,0.010913016000000001,0.010913016000000001,12.0
ETX,Municipal Bonds,214946.56,0.006917591,0.01317881,12.0
ETY,Equity US,1681962.331,0.010705386,0.010705386,12.0
EVF,Fixed Income,231746.04,0.011753807,0.016471483000000002,12.0
EVG,Fixed Income,233704.67,0.011976185,0.01790971,12.0
EVJ,Municipal Bonds,55865.7,0.009911839,0.018295686000000002,12.0
EVM,Municipal Bonds,223567.3,0.0067529009999999995,0.014134815,12.0
EVN,Municipal Bonds,280865.42,0.007860498,0.015308068000000001,12.0
EVT,Equity US,1583128.54,0.009058515999999999,0.013314181999999999,12.0
EVV,Fixed Income,1459967.79,0.008343016,0.015261506999999999,12.0
EVY,Municipal Bonds,65985.8,0.00787037,0.015916347,12.0
EXD,Equity US,91701.7164,0.015595663000000001,0.015595663000000001,4.0
EXG,Equity US,2382687.4,0.010671934,0.010671934,12.0
FAM,Fixed Income,128734.655,0.013044097,0.018498416,12.0
FAX,Fixed Income,1066514.13,0.009426577,0.018030783999999998,12.0
FCO,Fixed Income,70585.25,0.014820413000000001,0.021216785,12.0
FCT,Fixed Income,319298.7897,0.008500427,0.015117193999999999,12.0
FDEU,Equity Foreign,250996.1424,0.013292671,0.015262852,12.0
FEI,Equity US,533072.34,0.011347391,0.007994504,12.0
FEN,Equity US,410393.5,0.010513155,0.010251778000000001,4.0
FEO,Equity Foreign,69237.8,0.016452082,0.01781278,4.0
FFA,Equity US,299395.27,0.011447191,0.011447191,4.0
FFC,Fixed Income,822634.077,0.005707474000000001,0.012607799,12.0
FGB,Equity US,89799.7,0.013021791000000001,0.017830101,4.0
FIF,Equity US,270575.37,0.012034975,0.017781698999999998,12.0
FIV,Fixed Income,318546.48,0.008989423,0.014584382,12.0
FLC,Fixed Income,186053.2804,0.008255156999999999,0.015185259,12.0
FMN,Municipal Bonds,153714.89,0.003492658,0.006001469000000001,12.0
FMO,Equity US,373048.0,0.010823645,0.012893631000000001,4.0
FMY,Fixed Income,56189.6236,0.01392203,0.01392203,12.0
FOF,Equity US,336303.24,0.009456687,0.009456687,12.0
FPF,Fixed Income,1295531.12,0.009192859,0.015129723000000001,12.0
FPL,Equity US,225423.65,0.012670276999999999,0.06290048599999999,12.0
FRA,Fixed Income,475337.2208,0.00801913,0.014141728999999999,12.0
FSD,Fixed Income,434830.44,0.010899932,0.017244183,12.0
FT,Equity US,171148.92,0.008935378,0.015741039,12.0
FTF,Fixed Income,215190.08,0.009001621999999999,0.009001621999999999,12.0
FUND,Equity US,177357.05,0.010133554,0.010133554,4.0
FXBY,Equity US,5220.0,0.025431426,0.027507461,1.0
GAB,Equity US,1540404.32,0.009944546,0.009944546,4.0
GAM,Equity US,859362.7392,0.01121559,0.011347147,2.0
GBAB,Fixed Income,394115.37200000003,0.007729621,0.013445887,12.0
GCV,Equity US,73363.8364,0.014711284,0.014711284,4.0
GDL,Equity US,167276.0,0.023552456,0.023552456,4.0
GDO,Fixed Income,246078.27,0.008999175,0.01318028,12.0
GDV,Equity US,1756625.92,0.010361774,0.010361774,12.0
GER,Equity US,439826.4,0.012370011,0.023558616,4.0
GF,Equity Foreign,218713.52,0.010521168000000001,0.010521168000000001,2.0
GFY,Fixed Income,74574.1008,0.010224511,0.015867547,12.0
GGM,Fixed Income,147031.5,0.012040708999999998,0.018652461999999998,12.0
GGN,Equity US,595341.461,0.011128974,0.011167935,12.0
GGO,Equity US,25438.0,0.014337049,0.014337049,4.0
GGT,Equity US,201789.8504,0.011674263,0.011694413999999998,4.0
GGZ,Equity US,119745.54,0.011787538,0.011809591000000001,
GHY,Fixed Income,567206.64,0.014945646000000002,0.014945646000000002,12.0
GIM,Fixed Income,862545.92,0.008045085,0.008045085,12.0
GLO,Equity US,488170.9238,0.016234677,0.023103806,12.0
GLQ,Equity US,223883.6951,0.016735715,0.023363217000000002,12.0
GLU,Equity US,76797.591,0.008564653,0.008550704000000001,12.0
GLV,Equity US,115944.6,0.015773886,0.022644493999999998,12.0
GMZ,Equity US,374163.7304,0.012789848999999999,0.022224926000000002,4.0
GNT,Equity US,117944.1324,0.010791198,0.010937166000000002,12.0
GOF,Fixed Income,547422.0122,0.01106361,0.011045046999999999,12.0
GPM,Equity US,380933.41,0.003467069,0.008506634,4.0
GRF,Equity US,27997.28,0.013483832,0.013483832,1.0
GRX,Equity US,206845.578,0.012670338,0.012670338,4.0
GUT,Equity US,290157.9884,0.013917157,0.013917157,12.0
HEQ,Equity US,180644.5276,0.0112,0.0112,4.0
HFRO,Fixed Income,988522.08,0.012960053999999999,0.012960053999999999,12.0
HIE,Equity US,158334.4568,0.014543941999999999,0.01755801,12.0
HIO,Fixed Income,620959.76,0.009022071,0.009022071,12.0
HIX,Fixed Income,545671.32,0.008663716,0.015052386999999999,12.0
HNW,Fixed Income,116078.69,0.010315464,0.018424618,12.0
HPF,Fixed Income,450050.85,0.00836798,0.015663518,12.0
HPI,Fixed Income,554315.72,0.008325982,0.015592466999999999,12.0
HPS,Fixed Income,574701.4,0.008303079,0.015523829,12.0
HQH,Equity US,860022.675,0.011218541,0.011218541,4.0
HQL,Equity US,385580.16,0.012712233,0.012712233,4.0
HTD,Equity US,846409.2,0.008185521,0.014002515,12.0
HTY,Equity Foreign,77238.0,0.012698673999999998,0.012698673999999998,4.0
HYB,Fixed Income,194663.77,0.008387928000000001,0.014569479,12.0
HYI,Fixed Income,332631.8,0.009604013,0.009609501,12.0
HYT,Fixed Income,1280849.825,0.006473625,0.01288416,12.0
IAE,Equity Foreign,111598.3412,0.013633137,0.013633137,4.0
IAF,Equity Foreign,123716.48,0.01510683,0.01510683,4.0
IDE,Equity Foreign,244546.4034,0.012169756,0.01218242,4.0
IFN,Equity Foreign,568891.5917,0.012227296,0.012227296,4.0
IGA,Equity US,189456.75,0.009855566999999999,0.009855566999999999,4.0
IGD,Equity Foreign,631971.27,0.012393942,0.012393942,12.0
IGI,Fixed Income,213852.09,0.007844428,0.007924473000000001,12.0
IGR,Equity US,830120.8,0.009899465,0.012526756000000002,12.0
IHD,Equity Foreign,157163.02,0.01468014,0.01468014,4.0
IHIT,Fixed Income,246367.03,0.007701446,0.015176008000000001,12.0
IHTA,Fixed Income,85615.2465,0.009823987,0.013899896,12.0
IID,Equity Foreign,49762.2,0.012681311,0.012681311,12.0
IIF,Equity Foreign,270319.8138,0.013817101000000002,0.013817101000000002,2.0
IIM,Municipal Bonds,676679.66,0.006067849,0.014012505,12.0
INB,Equity US,191847.18,0.011737414,0.016157018999999998,12.0
INF,Equity Foreign,165042.9395,0.014624356000000002,0.020757617,12.0
INSI,Fixed Income,200008.17899999997,0.007703570999999999,0.007703570999999999,4.0
IQI,Municipal Bonds,630572.9508,0.006110020999999999,0.014633987,12.0
IRL,Equity Foreign,33362.48,0.024989183999999998,0.024989183999999998,4.0
IRR,Equity US,120392.83099999999,0.012717266000000001,0.012732002,4.0
ISD,Fixed Income,467094.565,0.008795651,0.014882756,12.0
IVH,Fixed Income,222425.738,0.011341755,0.018790071999999998,12.0
JCE,Equity US,223186.46,0.010154571999999999,0.010154571999999999,4.0
JCO,Fixed Income,264382.2,0.007520494,0.012811266000000002,12.0
JDD,Equity US,208080.68,0.010019127,0.016869671,4.0
JEMD,Fixed Income,120009.48,0.007881339000000001,0.010622675,12.0
JEQ,Equity Foreign,94484.8006,0.007834179,0.007834179,1.0
JFR,Fixed Income,559395.7958,0.008947149,0.018314478000000002,12.0
JGH,Fixed Income,347632.032,0.009545223,0.013574531,12.0
JHAA,Fixed Income,72240.0,,,12.0
JHB,Fixed Income,545310.72,0.007432757,0.01265585,12.0
JHD,Fixed Income,268204.24,0.008013085,0.01285267,12.0
JHI,Fixed Income,134523.15,0.006818265,0.013255032,4.0
JHS,Fixed Income,159913.31,0.006536666,0.012640974,4.0
JHY,Fixed Income,155195.97,0.008036283,0.012529914,12.0
JLS,Fixed Income,364089.408,0.011730153,0.018961215,12.0
JMF,Equity US,380931.0,0.00790735,0.013754225,4.0
JMLP,Equity US,87402.32,0.013211823999999999,0.018574113,4.0
JMM,Fixed Income,65950.14,0.010956936,0.013277229,12.0
JMT,Fixed Income,109597.5,0.012734202,0.020308754,12.0
JOF,Equity Foreign,252739.28,0.011759732,0.011765332,1.0
JPC,Fixed Income,948596.94,0.008870094,0.016491921,12.0
JPI,Fixed Income,503885.494,0.009108723,0.015375166000000001,12.0
JPS,Fixed Income,1820094.74,0.00862808,0.015845807,12.0
JPT,Fixed Income,157044.0,0.009548028,0.013906088999999998,12.0
JQC,Fixed Income,1046763.57,0.008575292,0.017815169,12.0
JRI,Equity US,431627.46,0.008885645,0.01349975,12.0
JRO,Fixed Income,395713.11600000004,0.009173769,0.018666626000000002,12.0
JRS,Equity US,294409.48,0.009443616,0.015536956999999999,4.0
JSD,Fixed Income,158920.1264,0.010001115,0.018245937,12.0
JTA,Equity US,164731.7,0.009624598,0.015538076999999999,4.0
JTD,Equity US,228847.2,0.009956061,0.015515525,4.0
KF,Equity Foreign,174913.52,0.011808043999999998,0.011808043999999998,1.0
KIO,Fixed Income,231738.705,0.014973191,0.019850318999999998,12.0
KMF,Equity US,256916.44,0.020185084,0.030609284,12.0
KSM,Municipal Bonds,122571.76,0.006695921999999999,0.013888473,12.0
KTF,Municipal Bonds,426215.79,0.005636756,0.012059668999999999,12.0
KYN,Equity US,1841719.552,0.01915906,0.018696081,12.0
LDP,Fixed Income,678058.9904,0.008343665,0.014530026000000001,12.0
LEO,Municipal Bonds,484506.84,0.0060064919999999996,0.010099041999999999,12.0
LGI,Equity Foreign,141961.9,0.012308477,0.014792844,12.0
LOR,Equity Foreign,68387.2,0.014592639,0.017142206,12.0
MAV,Municipal Bonds,253568.39,0.007744933000000001,0.007744933000000001,12.0
MCA,Municipal Bonds,453815.14,0.005673823000000001,0.012890727,12.0
MCI,Fixed Income,312958.3,0.014692771,0.019001938,4.0
MCN,Equity US,132178.48,0.011476646,0.011476646,4.0
MCR,Fixed Income,380041.32,0.00593959,0.009216108,12.0
MEN,Municipal Bonds,314321.79,0.0055672609999999996,0.013387936000000001,12.0
MFD,Equity Foreign,95615.2537,0.0072799069999999995,0.021060691,4.0
MFL,Municipal Bonds,486364.8432,0.0055973540000000006,0.013515825,12.0
MFM,Municipal Bonds,277607.12,0.008029824,0.013797523,12.0
MFT,Municipal Bonds,111557.32,0.006124001,0.013943731000000001,12.0
MFV,Equity US,39094.0,0.014440095,0.014440095,12.0
MGF,Fixed Income,146052.48,0.007654158,0.007654158,12.0
MGU,Equity Foreign,271303.68,0.012248188,0.017060557,4.0
MHD,Municipal Bonds,218541.4,0.006248195,0.014281588999999999,12.0
MHE,Municipal Bonds,28760.23,0.00740349,0.01480698,12.0
MHF,Municipal Bonds,155608.3323,0.006921437,0.006921437,12.0
MHI,Municipal Bonds,259817.11,0.007331011,0.007331011,12.0
MHN,Municipal Bonds,389772.64,0.005739634,0.013490523999999999,12.0
MIE,Equity US,249710.76,0.01289881,0.018390487,12.0
MIN,Fixed Income,437731.294,0.006410183000000001,0.006417805,12.0
MIY,Municipal Bonds,385697.12,0.005576109,0.012843692,12.0
MMD,Municipal Bonds,550964.38,0.006548946999999999,0.014640201,12.0
MMT,Fixed Income,394450.2,0.006694549,0.009798259,12.0
MMU,Municipal Bonds,571847.69,0.012489341000000001,0.01249174,12.0
MNE,Municipal Bonds,55698.3,0.007364119000000001,0.014491323,12.0
MNP,Municipal Bonds,140925.5,0.012750758000000001,0.012750758000000001,12.0
MPA,Municipal Bonds,177314.56,0.005865395,0.013185408000000001,12.0
MPV,Fixed Income,163923.921,0.014249754,0.018104092,4.0
MQT,Municipal Bonds,272051.7358,0.005631051,0.013740081999999999,12.0
MQY,Municipal Bonds,424439.84,0.005448559,0.013190716000000002,12.0
MSD,Fixed Income,187141.11,0.011372216999999999,0.011372216999999999,4.0
MTT,Municipal Bonds,251510.16,0.007187176,0.007195005,12.0
MUA,Municipal Bonds,510125.336,0.006128635,0.00843258,12.0
MUC,Municipal Bonds,530565.88,0.005658201,0.013236727,12.0
MUE,Municipal Bonds,272278.89,0.006101093,0.013476921000000001,12.0
MUH,Municipal Bonds,157457.04,0.006291316,0.013958635,12.0
MUI,Municipal Bonds,515464.16,0.006063727,0.014498528,12.0
MUJ,Municipal Bonds,394975.1844,0.005728105,0.013196925,12.0
MUS,Municipal Bonds,154522.3582,0.006102095,0.014675748,12.0
MVF,Municipal Bonds,578985.48,0.00564245,0.013116599,12.0
MVT,Municipal Bonds,315953.15,0.00565017,0.013906608,12.0
MXE,Equity Foreign,78202.95,0.016569743,0.016569743,1.0
MXF,Equity Foreign,211870.6,0.01591495,0.01591495,4.0
MYC,Municipal Bonds,287678.589,0.005769479,0.013344423000000001,12.0
MYD,Municipal Bonds,652933.7295,0.005525377,0.013256883,12.0
MYF,Municipal Bonds,189852.9102,0.005960791,0.013307673999999999,12.0
MYI,Municipal Bonds,855295.05,0.0055695169999999995,0.012584296000000002,12.0
MYJ,Municipal Bonds,198850.19,0.0058435169999999995,0.013284619,12.0
MYN,Municipal Bonds,478689.9627,0.005680027,0.012947024,12.0
MZA,Municipal Bonds,61407.06,0.006693236,0.013939475,12.0
NAC,Municipal Bonds,1937151.75,0.008344589,0.013061445,12.0
NAD,Municipal Bonds,2680992.96,0.007363107,0.012813435,12.0
NAN,Municipal Bonds,400436.4042,0.008081093000000001,0.014197372,12.0
NAZ,Municipal Bonds,146588.47,0.0070718859999999995,0.01341301,12.0
NBB,Fixed Income,522359.88,0.007204510999999999,0.011373301,12.0
NBH,Municipal Bonds,266264.64,0.014653096000000001,0.014653096000000001,12.0
NBO,Municipal Bonds,59299.36,0.016804343,0.016804343,12.0
NBW,Municipal Bonds,69942.6,0.016640343000000002,0.016640343000000002,12.0
NCA,Municipal Bonds,263774.49,0.005534684000000001,0.005534684000000001,12.0
NCB,Municipal Bonds,52322.14,0.00795938,0.00795938,12.0
NCV,Fixed Income,567489.51,0.008046998,0.008046998,12.0
NCZ,Fixed Income,415667.256,0.008138248,0.008138248,12.0
NDP,Equity US,137089.6,0.012756232,0.017828932,4.0
NEA,Municipal Bonds,3422657.4,0.007973631,0.012789143000000001,12.0
NEV,Municipal Bonds,342189.25,0.00870208,0.010348419000000001,12.0
NFJ,Equity US,1154422.914,0.009387461,0.009387461,4.0
NHA,Municipal Bonds,83298.18,0.008878168,0.014647733000000001,12.0
NHF,Equity US,493398.4116,0.015626424,0.021169482000000003,12.0
NHS,Fixed Income,217100.51,0.011315117,0.017218656000000002,12.0
NID,Municipal Bonds,602000.721,0.007175295999999999,0.012228147,12.0
NIE,Equity US,586045.35,0.010096424,0.010096424,4.0
NIM,Municipal Bonds,123703.3,0.005888588,0.005888588,12.0
NIQ,Municipal Bonds,166436.676,0.0060937890000000005,0.011217922,12.0
NJV,Municipal Bonds,20085.45,0.00918429,0.010151057,12.0
NKG,Municipal Bonds,119942.13,0.007108491999999999,0.014944407,12.0
NKX,Municipal Bonds,641760.0,0.009470302,0.015102166,12.0
NMI,Municipal Bonds,91953.4062,0.008381589,0.008381589,12.0
NML,Equity US,441940.2,0.012221045,0.019710887,12.0
NMS,Municipal Bonds,75817.28,0.009448221,0.018356126,12.0
NMT,Municipal Bonds,117329.95,0.007668006999999999,0.015071936000000001,12.0
NMY,Municipal Bonds,286701.16,0.006494127,0.015250337,12.0
NMZ,Municipal Bonds,821521.44,0.0076150409999999995,0.011430251,12.0
NNC,Municipal Bonds,202642.2,0.006510136,0.015477406,12.0
NNY,Municipal Bonds,145798.02,0.005730391,0.005997542,12.0
NOM,Municipal Bonds,29312.5,0.008614414,0.016541293000000002,12.0
NPN,Municipal Bonds,15956.6316,0.010019268000000001,0.010349573,12.0
NPV,Municipal Bonds,221113.89,0.006836626,0.014111239,12.0
NQP,Municipal Bonds,488720.05,0.006316983000000001,0.013283291000000001,12.0
NRGX,Equity US,808000.0,,,
NRK,Municipal Bonds,1079466.08,0.009430477,0.013916909,12.0
NRO,Equity US,227141.8,0.009741452,0.019492895,12.0
NSL,Fixed Income,225162.3978,0.009527883000000001,0.01800556,12.0
NTC,Municipal Bonds,170033.98,0.006719765999999999,0.014947789,12.0
NTG,Equity US,671450.7405,0.014414006000000002,0.018792332,4.0
NTX,Municipal Bonds,130342.9784,0.006755863000000001,0.015123921,12.0
NUM,Municipal Bonds,269633.33,0.006520781999999999,0.013645113,12.0
NUO,Municipal Bonds,261901.08,0.006950311999999999,0.013263657,12.0
NUV,Municipal Bonds,2001329.437,0.00522867,0.005285824000000001,12.0
NUW,Municipal Bonds,239486.28,0.007854281999999999,0.008570342,12.0
NVG,Municipal Bonds,2934992.97,0.008621049,0.013308427,12.0
NXC,Municipal Bonds,87820.5,0.003992870999999999,0.003992870999999999,12.0
NXJ,Municipal Bonds,569114.0465,0.006858398000000001,0.012610335,12.0
NXN,Municipal Bonds,52438.0,0.004215233,0.004435159,12.0
NXP,Municipal Bonds,239602.2,0.002751231,0.002751231,12.0
NXQ,Municipal Bonds,243921.78,0.003253147,0.003253147,12.0
NXR,Municipal Bonds,189427.92,0.003326382,0.003326382,12.0
NYV,Municipal Bonds,32782.5,0.007658488000000001,0.007658488000000001,12.0
NZF,Municipal Bonds,2039508.1,0.008794295,0.013856411,12.0
OCCI,Equity US,41783.4,,,12.0
OIA,Municipal Bonds,362379.22,0.006381800000000001,0.011120142,12.0
OPP,Fixed Income,185365.62,0.013822542,0.019744511,12.0
OXLC,Equity US,269571.8607,0.045816902,0.074177378,12.0
PAI,Fixed Income,133974.8757,0.0072043,0.007593722,12.0
PCF,Fixed Income,118374.15,0.010035519,0.010035519,12.0
PCI,Fixed Income,3150594.16,0.01182904,0.022784829,12.0
PCK,Municipal Bonds,270190.571,0.007167845999999999,0.008699044,12.0
PCM,Fixed Income,122894.64,0.009360809,0.019535601,12.0
PCN,Fixed Income,642407.91,0.007528486,0.010402853,12.0
PCQ,Municipal Bonds,322769.59,0.0064042909999999995,0.008481683,12.0
PDI,Fixed Income,1561655.4,0.01170941,0.023445325,12.0
PDT,Equity US,786798.6,0.009981742,0.016151893,12.0
PEO,Equity US,484863.28,0.007550902,0.007550902,4.0
